Date,MealPeriod,RevenueCenterName,CheckTotal
2023-04-18 00:00:00,Dinner,RevenueCenter_1,125
2023-04-18 00:00:00,Dinner,RevenueCenter_1,37.5
2023-04-18 00:00:00,Dinner,RevenueCenter_1,0
2023-04-18 00:00:00,Dinner,RevenueCenter_1,0
2023-04-18 00:00:00,Dinner,RevenueCenter_2,70
2023-04-18 00:00:00,Dinner,RevenueCenter_2,35
2023-04-18 00:00:00,Lunch,RevenueCenter_2,0
2023-04-18 00:00:00,BreakFast,RevenueCenter_2,17.5
2023-04-18 00:00:00,BreakFast,RevenueCenter_2,0
2023-04-18 00:00:00,BreakFast,RevenueCenter_2,0
2023-04-18 00:00:00,BreakFast,RevenueCenter_2,0
2023-04-18 00:00:00,Lunch,RevenueCenter_2,45
2023-04-18 00:00:00,Lunch,RevenueCenter_2,92
2023-04-18 00:00:00,Lunch,RevenueCenter_2,105
2023-04-18 00:00:00,Dinner,RevenueCenter_3,48
2023-04-18 00:00:00,Dinner,RevenueCenter_3,140
2023-04-18 00:00:00,Dinner,RevenueCenter_3,0
2023-04-18 00:00:00,Dinner,RevenueCenter_3,45
2023-04-18 00:00:00,Dinner,RevenueCenter_3,48
2023-04-18 00:00:00,Dinner,RevenueCenter_3,169
2023-04-18 00:00:00,Dinner,RevenueCenter_3,950
2023-04-18 00:00:00,Dinner,RevenueCenter_3,68
2023-04-18 00:00:00,Dinner,RevenueCenter_3,105
2023-04-18 00:00:00,Dinner,RevenueCenter_3,96
2023-04-18 00:00:00,Dinner,RevenueCenter_3,198
2023-04-18 00:00:00,Dinner,RevenueCenter_3,63
2023-04-18 00:00:00,Dinner,RevenueCenter_3,2
2023-04-18 00:00:00,Dinner,RevenueCenter_3,60
2023-04-18 00:00:00,Lunch,RevenueCenter_3,72
2023-04-18 00:00:00,Dinner,RevenueCenter_3,30
2023-04-18 00:00:00,Dinner,RevenueCenter_3,0
2023-04-18 00:00:00,Dinner,RevenueCenter_3,145
2023-04-18 00:00:00,Dinner,RevenueCenter_3,18
2023-04-18 00:00:00,Dinner,RevenueCenter_3,115
2023-04-18 00:00:00,Dinner,RevenueCenter_3,137
2023-04-18 00:00:00,Dinner,RevenueCenter_3,147.75
2023-04-18 00:00:00,Dinner,RevenueCenter_3,30
2023-04-18 00:00:00,Dinner,RevenueCenter_3,174
2023-04-18 00:00:00,Dinner,RevenueCenter_3,108
2023-04-18 00:00:00,Dinner,RevenueCenter_3,1000
2023-04-18 00:00:00,Dinner,RevenueCenter_3,30
2023-04-18 00:00:00,Dinner,RevenueCenter_3,279
2023-04-18 00:00:00,Dinner,RevenueCenter_3,215
2023-04-18 00:00:00,Dinner,RevenueCenter_3,260
2023-04-18 00:00:00,Dinner,RevenueCenter_3,192
2023-04-18 00:00:00,Dinner,RevenueCenter_3,140
2023-04-18 00:00:00,Lunch,RevenueCenter_3,228.5
2023-04-18 00:00:00,Dinner,RevenueCenter_3,150
2023-04-18 00:00:00,Dinner,RevenueCenter_3,73.5
2023-04-18 00:00:00,Dinner,RevenueCenter_3,144
2023-04-18 00:00:00,Dinner,RevenueCenter_3,0
2023-04-18 00:00:00,Lunch,RevenueCenter_3,110
2023-04-18 00:00:00,Dinner,RevenueCenter_3,135
2023-04-18 00:00:00,Lunch,RevenueCenter_3,345
2023-04-18 00:00:00,Lunch,RevenueCenter_3,105
2023-04-18 00:00:00,BreakFast,RevenueCenter_4,0
2023-04-18 00:00:00,Dinner,RevenueCenter_4,0
2023-04-18 00:00:00,Dinner,RevenueCenter_4,0
2023-04-18 00:00:00,Dinner,RevenueCenter_5,95
2023-04-18 00:00:00,Dinner,RevenueCenter_5,57
2023-04-18 00:00:00,Dinner,RevenueCenter_5,215
2023-04-18 00:00:00,Dinner,RevenueCenter_5,186.2
2023-04-18 00:00:00,Dinner,RevenueCenter_5,95
2023-04-18 00:00:00,Dinner,RevenueCenter_5,368.6
2023-04-18 00:00:00,Dinner,RevenueCenter_5,0
2023-04-18 00:00:00,Dinner,RevenueCenter_5,57
2023-04-18 00:00:00,Dinner,RevenueCenter_5,250
2023-04-18 00:00:00,Dinner,RevenueCenter_5,95
2023-04-18 00:00:00,Dinner,RevenueCenter_5,186.2
2023-04-18 00:00:00,Dinner,RevenueCenter_5,57
2023-04-18 00:00:00,Dinner,RevenueCenter_5,186.2
2023-04-18 00:00:00,Dinner,RevenueCenter_5,95
2023-04-18 00:00:00,Lunch,RevenueCenter_5,0
2023-04-18 00:00:00,BreakFast,RevenueCenter_5,0
2023-04-18 00:00:00,BreakFast,RevenueCenter_5,0
2023-04-18 00:00:00,BreakFast,RevenueCenter_5,0
2023-04-18 00:00:00,BreakFast,RevenueCenter_5,75
2023-04-18 00:00:00,BreakFast,RevenueCenter_5,100
2023-04-18 00:00:00,Lunch,RevenueCenter_5,0
2023-04-18 00:00:00,Lunch,RevenueCenter_5,0
2023-04-18 00:00:00,BreakFast,RevenueCenter_5,0
2023-04-18 00:00:00,BreakFast,RevenueCenter_5,0
2023-04-18 00:00:00,Dinner,RevenueCenter_5,300
2023-04-18 00:00:00,Dinner,RevenueCenter_5,775
2023-04-18 00:00:00,Dinner,RevenueCenter_5,3052
2023-04-18 00:00:00,Dinner,RevenueCenter_5,4250
2023-04-18 00:00:00,Dinner,RevenueCenter_5,3451
2023-04-18 00:00:00,Dinner,RevenueCenter_5,150
2023-04-18 00:00:00,Dinner,RevenueCenter_5,0
2023-04-18 00:00:00,Dinner,RevenueCenter_5,0
2023-04-18 00:00:00,Dinner,RevenueCenter_5,0
2023-04-18 00:00:00,Dinner,RevenueCenter_5,129
2023-04-18 00:00:00,Dinner,RevenueCenter_5,225
2023-04-18 00:00:00,Dinner,RevenueCenter_5,238
2023-04-18 00:00:00,Dinner,RevenueCenter_5,476
2023-04-18 00:00:00,Dinner,RevenueCenter_5,1000
2023-04-18 00:00:00,Dinner,RevenueCenter_5,0
2023-04-18 00:00:00,Dinner,RevenueCenter_5,500
2023-04-18 00:00:00,Dinner,RevenueCenter_5,129
2023-04-18 00:00:00,Dinner,RevenueCenter_5,129
2023-04-18 00:00:00,Dinner,RevenueCenter_5,654
2023-04-18 00:00:00,BreakFast,RevenueCenter_5,7813
2023-04-18 00:00:00,BreakFast,RevenueCenter_5,0
2023-04-18 00:00:00,BreakFast,RevenueCenter_5,0
2023-04-18 00:00:00,Dinner,RevenueCenter_5,50
2023-04-18 00:00:00,Dinner,RevenueCenter_5,129
2023-04-18 00:00:00,Dinner,RevenueCenter_5,750
2023-04-18 00:00:00,Dinner,RevenueCenter_5,0
2023-04-18 00:00:00,Dinner,RevenueCenter_5,119
2023-04-18 00:00:00,Dinner,RevenueCenter_5,845
2023-04-18 00:00:00,Dinner,RevenueCenter_5,40
2023-04-18 00:00:00,Dinner,RevenueCenter_5,40
2023-04-18 00:00:00,Dinner,RevenueCenter_5,0
2023-04-18 00:00:00,Dinner,RevenueCenter_5,839
2023-04-18 00:00:00,Dinner,RevenueCenter_5,1309
2023-04-18 00:00:00,Dinner,RevenueCenter_5,40
2023-04-18 00:00:00,Dinner,RevenueCenter_5,180
2023-04-18 00:00:00,Dinner,RevenueCenter_5,40
2023-04-18 00:00:00,Dinner,RevenueCenter_5,625
2023-04-18 00:00:00,Dinner,RevenueCenter_5,500
2023-04-18 00:00:00,Dinner,RevenueCenter_5,325
2023-04-18 00:00:00,Dinner,RevenueCenter_5,0
2023-04-18 00:00:00,Dinner,RevenueCenter_5,0
2023-04-18 00:00:00,Dinner,RevenueCenter_5,150
2023-04-18 00:00:00,Dinner,RevenueCenter_5,40
2023-01-23 00:00:00,BreakFast,RevenueCenter_1,50
2023-01-23 00:00:00,Lunch,RevenueCenter_1,61.5
2023-01-23 00:00:00,Dinner,RevenueCenter_1,200
2023-01-23 00:00:00,Dinner,RevenueCenter_1,147
2023-01-23 00:00:00,Dinner,RevenueCenter_1,195
2023-01-23 00:00:00,Dinner,RevenueCenter_1,80
2023-01-23 00:00:00,BreakFast,RevenueCenter_4,0
2023-01-23 00:00:00,Dinner,RevenueCenter_1,173
2023-01-23 00:00:00,Dinner,RevenueCenter_2,81
2023-01-23 00:00:00,Dinner,RevenueCenter_2,0
2023-01-23 00:00:00,Dinner,RevenueCenter_2,65
2023-01-23 00:00:00,Dinner,RevenueCenter_2,35
2023-01-23 00:00:00,Lunch,RevenueCenter_2,60
2023-01-23 00:00:00,Lunch,RevenueCenter_2,70
2023-01-23 00:00:00,BreakFast,RevenueCenter_2,50
2023-01-23 00:00:00,BreakFast,RevenueCenter_2,0
2023-01-23 00:00:00,Dinner,RevenueCenter_2,70
2023-01-23 00:00:00,BreakFast,RevenueCenter_2,95
2023-01-23 00:00:00,BreakFast,RevenueCenter_2,8
2023-01-23 00:00:00,BreakFast,RevenueCenter_2,102
2023-01-23 00:00:00,BreakFast,RevenueCenter_2,30
2023-01-23 00:00:00,Dinner,RevenueCenter_3,434
2023-01-23 00:00:00,Dinner,RevenueCenter_3,70
2023-01-23 00:00:00,Dinner,RevenueCenter_3,0
2023-01-23 00:00:00,Dinner,RevenueCenter_3,177
2023-01-23 00:00:00,Dinner,RevenueCenter_3,35
2023-01-23 00:00:00,Dinner,RevenueCenter_3,375
2023-01-23 00:00:00,Dinner,RevenueCenter_3,259
2023-01-23 00:00:00,Dinner,RevenueCenter_3,0
2023-01-23 00:00:00,Dinner,RevenueCenter_3,0
2023-01-23 00:00:00,Dinner,RevenueCenter_3,280
2023-01-23 00:00:00,Dinner,RevenueCenter_3,105
2023-01-23 00:00:00,Dinner,RevenueCenter_3,140
2023-01-23 00:00:00,Dinner,RevenueCenter_3,316
2023-01-23 00:00:00,Dinner,RevenueCenter_3,360
2023-01-23 00:00:00,Dinner,RevenueCenter_3,48
2023-01-23 00:00:00,Dinner,RevenueCenter_3,0
2023-01-23 00:00:00,BreakFast,RevenueCenter_6,30
2023-01-23 00:00:00,Lunch,RevenueCenter_6,80
2023-01-23 00:00:00,BreakFast,RevenueCenter_6,16
2023-01-23 00:00:00,Dinner,RevenueCenter_3,73.5
2023-01-23 00:00:00,Dinner,RevenueCenter_3,0
2023-01-23 00:00:00,Lunch,RevenueCenter_3,425
2023-01-23 00:00:00,Dinner,RevenueCenter_3,20
2023-01-23 00:00:00,Lunch,RevenueCenter_3,53
2023-01-23 00:00:00,Lunch,RevenueCenter_3,60
2023-01-23 00:00:00,Lunch,RevenueCenter_3,105
2023-01-23 00:00:00,Lunch,RevenueCenter_3,59
2023-01-23 00:00:00,Lunch,RevenueCenter_3,105
2023-01-23 00:00:00,Dinner,RevenueCenter_3,145
2023-01-23 00:00:00,Lunch,RevenueCenter_3,0
2023-01-23 00:00:00,Dinner,RevenueCenter_3,35
2023-01-23 00:00:00,Lunch,RevenueCenter_3,1800
2023-01-23 00:00:00,Dinner,RevenueCenter_3,440
2023-01-23 00:00:00,Lunch,RevenueCenter_3,249
2023-01-23 00:00:00,Dinner,RevenueCenter_3,119
2023-01-23 00:00:00,Dinner,RevenueCenter_3,70
2023-01-23 00:00:00,Dinner,RevenueCenter_3,282
2023-01-23 00:00:00,Lunch,RevenueCenter_3,10
2023-01-23 00:00:00,Lunch,RevenueCenter_3,5
2023-01-23 00:00:00,Dinner,RevenueCenter_3,250
2023-01-23 00:00:00,BreakFast,RevenueCenter_3,500
2023-01-23 00:00:00,Dinner,RevenueCenter_3,280
2023-01-23 00:00:00,Dinner,RevenueCenter_3,110
2023-01-23 00:00:00,Dinner,RevenueCenter_3,100
2023-01-23 00:00:00,Dinner,RevenueCenter_5,130
2023-01-23 00:00:00,Dinner,RevenueCenter_5,282
2023-01-23 00:00:00,Dinner,RevenueCenter_5,0
2023-01-23 00:00:00,Dinner,RevenueCenter_5,40
2023-01-23 00:00:00,Dinner,RevenueCenter_5,115
2023-01-23 00:00:00,Dinner,RevenueCenter_5,30
2023-01-23 00:00:00,Dinner,RevenueCenter_5,40
2023-01-23 00:00:00,Dinner,RevenueCenter_5,40
2023-01-23 00:00:00,Dinner,RevenueCenter_5,30
2023-01-23 00:00:00,Dinner,RevenueCenter_5,40
2023-01-23 00:00:00,Lunch,RevenueCenter_5,40
2023-01-23 00:00:00,Dinner,RevenueCenter_5,260
2023-01-23 00:00:00,Dinner,RevenueCenter_5,130
2023-01-23 00:00:00,Dinner,RevenueCenter_5,40
2023-01-23 00:00:00,BreakFast,RevenueCenter_5,130
2023-01-23 00:00:00,Lunch,RevenueCenter_5,0
2023-01-23 00:00:00,Lunch,RevenueCenter_5,0
2023-01-23 00:00:00,Lunch,RevenueCenter_5,75
2023-01-23 00:00:00,Lunch,RevenueCenter_5,390
2023-01-23 00:00:00,BreakFast,RevenueCenter_5,15515
2023-01-23 00:00:00,BreakFast,RevenueCenter_5,130
2023-01-23 00:00:00,BreakFast,RevenueCenter_5,0
2023-01-23 00:00:00,Lunch,RevenueCenter_5,0
2023-01-23 00:00:00,Lunch,RevenueCenter_5,0
2023-01-23 00:00:00,Lunch,RevenueCenter_5,0
2023-01-23 00:00:00,Lunch,RevenueCenter_5,0
2023-01-23 00:00:00,Lunch,RevenueCenter_5,0
2023-01-23 00:00:00,Lunch,RevenueCenter_5,75
2023-01-23 00:00:00,Lunch,RevenueCenter_5,0
2023-01-23 00:00:00,Lunch,RevenueCenter_5,0
2023-01-23 00:00:00,Lunch,RevenueCenter_5,260
2023-01-23 00:00:00,Dinner,RevenueCenter_4,0
2023-01-23 00:00:00,Dinner,RevenueCenter_4,0
2023-01-23 00:00:00,Lunch,RevenueCenter_4,0
2023-01-23 00:00:00,Dinner,RevenueCenter_3,53
2023-01-23 00:00:00,Dinner,RevenueCenter_3,40
2023-01-23 00:00:00,Dinner,RevenueCenter_3,0
2023-01-23 00:00:00,Dinner,RevenueCenter_3,6
2023-01-23 00:00:00,Dinner,RevenueCenter_3,181
2023-01-23 00:00:00,Dinner,RevenueCenter_3,105
2023-01-23 00:00:00,Dinner,RevenueCenter_3,0
2023-01-23 00:00:00,Dinner,RevenueCenter_3,0
2023-01-23 00:00:00,Dinner,RevenueCenter_3,20
2023-01-23 00:00:00,Dinner,RevenueCenter_3,40
2023-01-23 00:00:00,Dinner,RevenueCenter_3,324
2023-01-23 00:00:00,Dinner,RevenueCenter_3,40
2023-01-23 00:00:00,Dinner,RevenueCenter_3,88.5
2023-01-23 00:00:00,Dinner,RevenueCenter_3,40
2023-01-23 00:00:00,Dinner,RevenueCenter_3,0
