Date,BreakFast,Dinner,Lunch,Month,Day,IsWeekend,IsHoliday,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4,DayOfWeek_5,DayOfWeek_6,BreakFast_lag_2d,BreakFast_lag_3d,BreakFast_lag_7d,BreakFast_lag_14d,BreakFast_lag_21d,BreakFast_lag_28d,BreakFast_roll_mean_3,BreakFast_roll_mean_7,BreakFast_roll_mean_14,BreakFast_roll_mean_30,BreakFast_roll_std_7,BreakFast_roll_std_30,BreakFast_ema_7,BreakFast_ema_30,Holiday_Yesterday,Holiday_LastWeek
2023-03-08,0.0,22190.0,0.0,3,8,0,0,0.0,0.0,0.0,1000.0,0.0,0.0,30090.0,23850.0,0.0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.92857142857144,821.1666666666666,0.0,2581.5768648629078,85.56582359578621,481.0898113037914,0.0,0.0
2023-03-09,0.0,19400.0,0.0,3,9,0,0,0.0,0.0,10945.0,0.0,0.0,33570.0,22190.0,14150.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0.0,6845.0,0.0,0.0,0.0,0.0,488.92857142857144,821.1666666666666,0.0,2581.5768648629078,64.17436769683965,450.05175896161137,0.0,0.0
2023-03-10,0.0,14400.0,0.0,3,10,1,0,0.0,0.0,0.0,0.0,3230.0,0.0,19400.0,0.0,26970.0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.3333333333333,0.0,1736.6321615033548,48.13077577262974,421.01616160924937,0.0,0.0
2023-03-11,0.0,0.0,4000.0,3,11,1,0,0.0,0.0,0.0,0.0,10170.0,36420.0,14400.0,0.0,19425.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.3333333333333,0.0,1736.6321615033548,36.09808182947231,393.853828602201,0.0,0.0
2023-03-12,0.0,0.0,2300.0,3,12,0,0,0.0,0.0,0.0,4000.0,10255.0,1800.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.3333333333333,0.0,1736.6321615033548,27.07356137210423,368.4439041762526,0.0,0.0
2023-03-13,0.0,26210.0,0.0,3,13,0,0,0.0,0.0,0.0,2300.0,6000.0,0.0,0.0,27690.0,28000.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.3333333333333,0.0,1736.6321615033548,20.305171029078174,344.6733297132686,0.0,0.0
2023-03-14,0.0,89580.0,0.0,3,14,0,0,0.0,0.0,0.0,0.0,1000.0,0.0,26210.0,30090.0,14900.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,6845.0,0.0,0.0,0.0,0.0,456.3333333333333,0.0,1736.6321615033548,15.22887827180863,322.43634069950934,0.0,0.0
2023-03-15,0.0,49080.0,0.0,3,15,0,0,0.0,0.0,0.0,0.0,0.0,10080.0,89580.0,22190.0,0.0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.3333333333333,0.0,1736.6321615033548,11.421658703856473,301.6339961382507,0.0,0.0
2023-03-16,0.0,74120.0,5000.0,3,16,0,0,0.0,0.0,0.0,0.0,0.0,10080.0,49080.0,19400.0,9750.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,6845.0,0.0,0.0,0.0,0.0,456.3333333333333,0.0,1736.6321615033548,8.566244027892354,282.17373832287973,0.0,0.0
2023-03-17,0.0,20850.0,11700.0,3,17,1,0,0.0,0.0,0.0,5000.0,0.0,20000.0,74120.0,14400.0,0.0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.3333333333333,0.0,1736.6321615033548,6.424683020919266,263.9689810117262,0.0,0.0
