Date,BreakFast,Dinner,Lunch,Month,Day,DayOfWeek,IsWeekend,IsHoliday,TotalRevenue,lag_1d,lag_1w,lag_1m,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m
2023-01-31,473.0,4368.0,250.0,1,31,1,0,0,5091.0,3717.9,2842.0,7133.9,187.4,374.0,1499.4,510.0,674.0,1260.0,3020.5,1794.0,4374.5
2023-02-01,612.0,1527.5,278.0,2,1,2,0,0,2417.5,5091.0,3664.5,5273.0,473.0,652.0,771.0,250.0,371.0,1042.0,4368.0,2641.5,3460.0
2023-02-02,223.0,2849.0,938.5,2,2,3,0,0,4010.5,2417.5,4788.5,4864.3,612.0,664.0,1302.4,278.0,455.0,826.0,1527.5,3669.5,2735.9
2023-02-03,968.0,1896.0,565.0,2,3,4,1,0,3429.0,4010.5,5224.5,6278.0,223.0,869.0,1737.0,938.5,456.5,712.0,2849.0,3899.0,3829.0
2023-02-04,1994.0,2686.0,247.0,2,4,5,1,0,4927.0,3429.0,4482.4,5683.0,968.0,1169.0,653.0,565.0,645.9,1162.0,1896.0,2667.5,3868.0
2023-02-05,886.4,1466.0,569.5,2,5,6,0,0,2921.9,4927.0,4919.0,5613.9,1994.0,1062.0,1204.4,247.0,1016.0,1285.0,2686.0,2841.0,3124.5
2023-02-06,1550.4,1952.0,125.0,2,6,0,0,0,3627.4,2921.9,3717.9,4250.5,886.4,187.4,1172.0,569.5,510.0,1111.0,1466.0,3020.5,1967.5
2023-02-07,1751.4,3700.0,969.0,2,7,1,0,0,6420.4,3627.4,5091.0,3892.9,1550.4,473.0,1139.0,125.0,250.0,543.0,1952.0,4368.0,2210.9
2023-02-08,745.0,1673.0,258.0,2,8,2,0,0,2676.0,6420.4,2417.5,2946.0,1751.4,612.0,300.0,969.0,278.0,232.0,3700.0,1527.5,2414.0
2023-02-09,825.0,3374.4,801.0,2,9,3,0,0,5000.4,2676.0,4010.5,3511.5,745.0,223.0,740.0,258.0,938.5,1139.0,1673.0,2849.0,1632.5
2023-02-10,456.0,2559.0,570.5,2,10,4,1,0,3585.5,5000.4,3429.0,3313.75,825.0,968.0,485.0,801.0,565.0,370.0,3374.4,1896.0,2458.75
2023-02-11,1229.0,2197.0,973.5,2,11,5,1,0,4399.5,3585.5,4927.0,3660.5,456.0,1994.0,1208.0,570.5,247.0,414.0,2559.0,2686.0,2038.5
