Date,BreakFast,Dinner,Lunch,Month,Day,IsWeekend,IsHoliday,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m,DayOfWeek_0,DayOfWeek_1,DayOfWeek_2,DayOfWeek_3,DayOfWeek_4,DayOfWeek_5,DayOfWeek_6
2023-02-03,74.0,494.0,30.0,2,3,1,0,267.0,110.0,93.0,772.0,0.0,1446.0,1544.5,0.0,1166.0,0,0,0,0,1,0,0
2023-02-04,60.0,600.0,182.0,2,4,1,0,74.0,122.0,0.0,30.0,626.0,892.0,494.0,390.0,629.5,0,0,0,0,0,1,0
2023-02-05,424.0,0.0,340.0,2,5,0,0,60.0,247.0,365.0,182.0,1149.0,468.0,600.0,421.5,2.0,0,0,0,0,0,0,1
2023-02-06,477.0,30.0,116.0,2,6,0,0,424.0,80.0,853.0,340.0,307.0,226.5,0.0,20.0,550.0,1,0,0,0,0,0,0
2023-02-07,248.0,327.0,380.0,2,7,0,0,477.0,0.0,341.0,116.0,514.0,754.0,30.0,273.0,629.75,0,1,0,0,0,0,0
2023-02-08,412.0,457.25,535.0,2,8,0,0,248.0,72.0,47.0,380.0,415.5,1328.0,327.0,0.0,622.0,0,0,1,0,0,0,0
2023-02-09,280.0,791.0,734.0,2,9,0,0,412.0,267.0,207.0,535.0,772.0,403.0,457.25,1544.5,749.5,0,0,0,1,0,0,0
2023-02-10,431.0,176.0,535.0,2,10,1,0,280.0,74.0,280.0,734.0,30.0,165.0,791.0,494.0,442.0,0,0,0,0,1,0,0
2023-02-11,421.0,642.0,796.5,2,11,1,0,431.0,60.0,100.0,535.0,182.0,56.0,176.0,600.0,1241.0,0,0,0,0,0,1,0
2023-02-12,338.0,70.0,764.0,2,12,0,0,421.0,424.0,0.0,796.5,340.0,341.0,642.0,0.0,176.0,0,0,0,0,0,0,1
2023-02-13,1228.0,1354.5,210.0,2,13,0,0,338.0,477.0,0.0,764.0,116.0,562.0,70.0,30.0,367.0,1,0,0,0,0,0,0
2023-02-14,85.0,1050.0,438.0,2,14,0,0,1228.0,248.0,30.0,210.0,380.0,306.0,1354.5,327.0,464.6,0,1,0,0,0,0,0
2023-02-15,369.0,472.5,483.0,2,15,0,0,85.0,412.0,30.0,438.0,535.0,169.0,1050.0,457.25,511.0,0,0,1,0,0,0,0
2023-02-16,80.0,442.0,131.0,2,16,0,0,369.0,280.0,0.0,483.0,734.0,0.0,472.5,791.0,145.0,0,0,0,1,0,0,0
2023-02-17,86.0,416.5,728.0,2,17,1,0,80.0,431.0,0.0,131.0,535.0,603.0,442.0,176.0,903.0,0,0,0,0,1,0,0
2023-02-18,56.0,300.5,880.0,2,18,1,0,86.0,421.0,30.0,728.0,796.5,341.0,416.5,642.0,533.0,0,0,0,0,0,1,0
2023-02-19,256.0,137.0,127.0,2,19,0,0,56.0,338.0,216.0,880.0,764.0,141.0,300.5,70.0,659.0,0,0,0,0,0,0,1
2023-02-20,0.0,278.0,0.0,2,20,0,0,256.0,1228.0,163.0,127.0,210.0,399.0,137.0,1354.5,1224.0,1,0,0,0,0,0,0
2023-02-21,0.0,17764.0,271.0,2,21,0,0,0.0,85.0,0.0,0.0,438.0,446.0,278.0,1050.0,378.0,0,1,0,0,0,0,0
2023-02-22,120.0,39.0,612.0,2,22,0,0,0.0,369.0,0.0,271.0,483.0,171.0,17764.0,472.5,39.0,0,0,1,0,0,0,0
2023-02-23,404.0,325.0,513.0,2,23,0,0,120.0,80.0,283.0,612.0,131.0,0.0,39.0,442.0,172.0,0,0,0,1,0,0,0
2023-02-24,293.0,1619.0,921.5,2,24,1,0,404.0,86.0,46.0,513.0,728.0,80.0,325.0,416.5,0.0,0,0,0,0,1,0,0
2023-02-25,248.0,447.5,321.5,2,25,1,0,293.0,56.0,60.0,921.5,880.0,0.0,1619.0,300.5,232.5,0,0,0,0,0,1,0
2023-02-26,42.5,665.0,349.0,2,26,0,0,248.0,256.0,110.0,321.5,127.0,0.0,447.5,137.0,0.0,0,0,0,0,0,0,1
