Date,RevenueCenterName,Month,DayOfWeek,IsWeekend,IsHoliday,BreakFast,BreakFast_lag_1d,BreakFast_lag_1w,BreakFast_lag_1m
2023-01-31,RevenueCenter_1,1,1,0,0,473.0,187.4,374.0,1499.4
2023-02-01,RevenueCenter_1,2,2,0,0,612.0,473.0,652.0,771.0
2023-02-02,RevenueCenter_1,2,3,0,0,223.0,612.0,664.0,1302.4
2023-02-03,RevenueCenter_1,2,4,1,0,968.0,223.0,869.0,1737.0
2023-02-04,RevenueCenter_1,2,5,1,0,1994.0,968.0,1169.0,653.0
2023-02-05,RevenueCenter_1,2,6,0,0,886.4,1994.0,1062.0,1204.4
2023-02-06,RevenueCenter_1,2,0,0,0,1550.4,886.4,187.4,1172.0
2023-02-07,RevenueCenter_1,2,1,0,0,1751.4,1550.4,473.0,1139.0
2023-02-08,RevenueCenter_1,2,2,0,0,745.0,1751.4,612.0,300.0
2023-02-09,RevenueCenter_1,2,3,0,0,825.0,745.0,223.0,740.0
2023-02-10,RevenueCenter_1,2,4,1,0,456.0,825.0,968.0,485.0
2023-02-11,RevenueCenter_1,2,5,1,0,1229.0,456.0,1994.0,1208.0
2023-02-12,RevenueCenter_1,2,6,0,0,997.0,1229.0,886.4,1278.0
2023-02-13,RevenueCenter_1,2,0,0,0,924.0,997.0,1550.4,628.0
2023-02-14,RevenueCenter_1,2,1,0,0,340.4,924.0,1751.4,1220.0
2023-02-15,RevenueCenter_1,2,2,0,0,432.0,340.4,745.0,420.0
2023-02-16,RevenueCenter_1,2,3,0,0,1215.0,432.0,825.0,330.0
2023-02-17,RevenueCenter_1,2,4,1,0,1749.5,1215.0,456.0,1157.0
2023-02-18,RevenueCenter_1,2,5,1,0,2197.4,1749.5,1229.0,447.8
2023-02-19,RevenueCenter_1,2,6,0,0,1505.0,2197.4,997.0,874.0
2023-02-20,RevenueCenter_1,2,0,0,0,578.0,1505.0,924.0,674.0
2023-02-21,RevenueCenter_1,2,1,0,0,1040.0,578.0,340.4,1131.0
2023-02-22,RevenueCenter_1,2,2,0,0,1319.0,1040.0,432.0,208.0
2023-02-23,RevenueCenter_1,2,3,0,0,766.0,1319.0,1215.0,374.0
2023-02-24,RevenueCenter_1,2,4,1,0,873.0,766.0,1749.5,652.0
2023-02-25,RevenueCenter_1,2,5,1,0,798.0,873.0,2197.4,664.0
2023-02-26,RevenueCenter_1,2,6,0,0,1498.4,798.0,1505.0,869.0
2023-02-27,RevenueCenter_1,2,0,0,0,956.9,1498.4,578.0,1169.0
2023-02-28,RevenueCenter_1,2,1,0,0,1214.0,956.9,1040.0,1062.0
2023-03-01,RevenueCenter_1,3,2,0,0,765.0,1214.0,1319.0,187.4
2023-03-02,RevenueCenter_1,3,3,0,0,88.0,765.0,766.0,473.0
2023-03-03,RevenueCenter_1,3,4,1,0,50.0,88.0,873.0,612.0
2023-03-04,RevenueCenter_1,3,5,1,0,275.0,50.0,798.0,223.0
2023-03-05,RevenueCenter_1,3,6,0,0,839.0,275.0,1498.4,968.0
2023-03-06,RevenueCenter_1,3,0,0,0,766.0,839.0,956.9,1994.0
2023-03-07,RevenueCenter_1,3,1,0,0,486.0,766.0,1214.0,886.4
2023-03-08,RevenueCenter_1,3,2,0,0,187.0,486.0,765.0,1550.4
2023-03-09,RevenueCenter_1,3,3,0,0,804.0,187.0,88.0,1751.4
2023-03-10,RevenueCenter_1,3,4,1,0,956.0,804.0,50.0,745.0
2023-03-11,RevenueCenter_1,3,5,1,0,241.0,956.0,275.0,825.0
2023-03-12,RevenueCenter_1,3,6,0,0,458.0,241.0,839.0,456.0
2023-03-13,RevenueCenter_1,3,0,0,0,342.0,458.0,766.0,1229.0
2023-03-14,RevenueCenter_1,3,1,0,0,222.0,342.0,486.0,997.0
2023-03-15,RevenueCenter_1,3,2,0,0,364.0,222.0,187.0,924.0
2023-03-16,RevenueCenter_1,3,3,0,0,274.5,364.0,804.0,340.4
2023-03-17,RevenueCenter_1,3,4,1,0,1188.0,274.5,956.0,432.0
2023-03-18,RevenueCenter_1,3,5,1,0,590.0,1188.0,241.0,1215.0
2023-03-19,RevenueCenter_1,3,6,0,0,629.0,590.0,458.0,1749.5
2023-03-20,RevenueCenter_1,3,0,0,0,356.0,629.0,342.0,2197.4
2023-03-21,RevenueCenter_1,3,1,0,0,449.0,356.0,222.0,1505.0
2023-03-22,RevenueCenter_1,3,2,0,0,244.0,449.0,364.0,578.0
2023-03-23,RevenueCenter_1,3,3,0,1,536.0,244.0,274.5,1040.0
2023-03-24,RevenueCenter_1,3,4,1,0,344.0,536.0,1188.0,1319.0
2023-03-25,RevenueCenter_1,3,5,1,0,100.0,344.0,590.0,766.0
2023-03-26,RevenueCenter_1,3,6,0,0,604.0,100.0,629.0,873.0
2023-03-27,RevenueCenter_1,3,0,0,0,262.0,604.0,356.0,798.0
2023-03-28,RevenueCenter_1,3,1,0,0,519.0,262.0,449.0,1498.4
2023-03-29,RevenueCenter_1,3,2,0,0,305.0,519.0,244.0,956.9
2023-03-30,RevenueCenter_1,3,3,0,0,92.0,305.0,536.0,1214.0
2023-03-31,RevenueCenter_1,3,4,1,0,160.0,92.0,344.0,765.0
2023-04-01,RevenueCenter_1,4,5,1,0,407.0,160.0,100.0,88.0
2023-04-02,RevenueCenter_1,4,6,0,0,297.0,407.0,604.0,50.0
2023-04-03,RevenueCenter_1,4,0,0,0,0.0,297.0,262.0,275.0
2023-04-04,RevenueCenter_1,4,1,0,0,45.0,0.0,519.0,839.0
2023-04-05,RevenueCenter_1,4,2,0,0,266.0,45.0,305.0,766.0
2023-04-06,RevenueCenter_1,4,3,0,0,1094.0,266.0,92.0,486.0
2023-04-07,RevenueCenter_1,4,4,1,0,554.0,1094.0,160.0,187.0
2023-04-08,RevenueCenter_1,4,5,1,0,414.0,554.0,407.0,804.0
2023-04-09,RevenueCenter_1,4,6,0,0,101.0,414.0,297.0,956.0
2023-04-10,RevenueCenter_1,4,0,0,0,857.0,101.0,0.0,241.0
2023-04-11,RevenueCenter_1,4,1,0,0,114.0,857.0,45.0,458.0
2023-04-12,RevenueCenter_1,4,2,0,0,248.0,114.0,266.0,342.0
2023-04-13,RevenueCenter_1,4,3,0,0,782.0,248.0,1094.0,222.0
2023-04-14,RevenueCenter_1,4,4,1,0,557.0,782.0,554.0,364.0
2023-04-15,RevenueCenter_1,4,5,1,0,580.0,557.0,414.0,274.5
