Date,RevenueCenterName,Month,DayOfWeek,IsWeekend,IsHoliday,Dinner,Dinner_lag_1d,Dinner_lag_1w,Dinner_lag_1m
2023-01-31,RevenueCenter_1,1,1,0,0,4368.0,3020.5,1794.0,4374.5
2023-02-01,RevenueCenter_1,2,2,0,0,1527.5,4368.0,2641.5,3460.0
2023-02-02,RevenueCenter_1,2,3,0,0,2849.0,1527.5,3669.5,2735.9
2023-02-03,RevenueCenter_1,2,4,1,0,1896.0,2849.0,3899.0,3829.0
2023-02-04,RevenueCenter_1,2,5,1,0,2686.0,1896.0,2667.5,3868.0
2023-02-05,RevenueCenter_1,2,6,0,0,1466.0,2686.0,2841.0,3124.5
2023-02-06,RevenueCenter_1,2,0,0,0,1952.0,1466.0,3020.5,1967.5
2023-02-07,RevenueCenter_1,2,1,0,0,3700.0,1952.0,4368.0,2210.9
2023-02-08,RevenueCenter_1,2,2,0,0,1673.0,3700.0,1527.5,2414.0
2023-02-09,RevenueCenter_1,2,3,0,0,3374.4,1673.0,2849.0,1632.5
2023-02-10,RevenueCenter_1,2,4,1,0,2559.0,3374.4,1896.0,2458.75
2023-02-11,RevenueCenter_1,2,5,1,0,2197.0,2559.0,2686.0,2038.5
2023-02-12,RevenueCenter_1,2,6,0,0,4039.0,2197.0,1466.0,1326.3
2023-02-13,RevenueCenter_1,2,0,0,0,3750.0,4039.0,1952.0,1780.0
2023-02-14,RevenueCenter_1,2,1,0,0,4156.0,3750.0,3700.0,2318.0
2023-02-15,RevenueCenter_1,2,2,0,0,2181.0,4156.0,1673.0,2396.0
2023-02-16,RevenueCenter_1,2,3,0,0,3598.5,2181.0,3374.4,1672.5
2023-02-17,RevenueCenter_1,2,4,1,0,2451.0,3598.5,2559.0,1363.5
2023-02-18,RevenueCenter_1,2,5,1,0,3515.0,2451.0,2197.0,1342.0
2023-02-19,RevenueCenter_1,2,6,0,0,4452.22,3515.0,4039.0,1337.5
2023-02-20,RevenueCenter_1,2,0,0,0,2629.0,4452.22,3750.0,1693.0
2023-02-21,RevenueCenter_1,2,1,0,0,3025.5,2629.0,4156.0,2144.0
2023-02-22,RevenueCenter_1,2,2,0,0,2569.0,3025.5,2181.0,4238.0
2023-02-23,RevenueCenter_1,2,3,0,0,2853.0,2569.0,3598.5,1794.0
2023-02-24,RevenueCenter_1,2,4,1,0,2830.0,2853.0,2451.0,2641.5
2023-02-25,RevenueCenter_1,2,5,1,0,4164.0,2830.0,3515.0,3669.5
2023-02-26,RevenueCenter_1,2,6,0,0,2626.0,4164.0,4452.22,3899.0
2023-02-27,RevenueCenter_1,2,0,0,0,1937.8,2626.0,2629.0,2667.5
2023-02-28,RevenueCenter_1,2,1,0,0,3393.5,1937.8,3025.5,2841.0
2023-03-01,RevenueCenter_1,3,2,0,0,3483.0,3393.5,2569.0,3020.5
2023-03-02,RevenueCenter_1,3,3,0,0,2094.0,3483.0,2853.0,4368.0
2023-03-03,RevenueCenter_1,3,4,1,0,2592.0,2094.0,2830.0,1527.5
2023-03-04,RevenueCenter_1,3,5,1,0,1927.5,2592.0,4164.0,2849.0
2023-03-05,RevenueCenter_1,3,6,0,0,4099.5,1927.5,2626.0,1896.0
2023-03-06,RevenueCenter_1,3,0,0,0,2249.5,4099.5,1937.8,2686.0
2023-03-07,RevenueCenter_1,3,1,0,0,3413.5,2249.5,3393.5,1466.0
2023-03-08,RevenueCenter_1,3,2,0,0,2141.0,3413.5,3483.0,1952.0
2023-03-09,RevenueCenter_1,3,3,0,0,3054.0,2141.0,2094.0,3700.0
2023-03-10,RevenueCenter_1,3,4,1,0,1376.0,3054.0,2592.0,1673.0
2023-03-11,RevenueCenter_1,3,5,1,0,1807.0,1376.0,1927.5,3374.4
2023-03-12,RevenueCenter_1,3,6,0,0,1834.0,1807.0,4099.5,2559.0
2023-03-13,RevenueCenter_1,3,0,0,0,1895.5,1834.0,2249.5,2197.0
2023-03-14,RevenueCenter_1,3,1,0,0,2555.5,1895.5,3413.5,4039.0
2023-03-15,RevenueCenter_1,3,2,0,0,1855.5,2555.5,2141.0,3750.0
2023-03-16,RevenueCenter_1,3,3,0,0,2499.0,1855.5,3054.0,4156.0
2023-03-17,RevenueCenter_1,3,4,1,0,1478.0,2499.0,1376.0,2181.0
2023-03-18,RevenueCenter_1,3,5,1,0,1493.0,1478.0,1807.0,3598.5
2023-03-19,RevenueCenter_1,3,6,0,0,1207.0,1493.0,1834.0,2451.0
2023-03-20,RevenueCenter_1,3,0,0,0,3182.0,1207.0,1895.5,3515.0
2023-03-21,RevenueCenter_1,3,1,0,0,1855.0,3182.0,2555.5,4452.22
