Date,RevenueCenterName,Month,DayOfWeek,IsWeekend,IsHoliday,Lunch,Lunch_lag_1d,Lunch_lag_1w,Lunch_lag_1m
2023-01-31,RevenueCenter_1,1,1,0,0,250.0,510.0,674.0,1260.0
2023-02-01,RevenueCenter_1,2,2,0,0,278.0,250.0,371.0,1042.0
2023-02-02,RevenueCenter_1,2,3,0,0,938.5,278.0,455.0,826.0
2023-02-03,RevenueCenter_1,2,4,1,0,565.0,938.5,456.5,712.0
2023-02-04,RevenueCenter_1,2,5,1,0,247.0,565.0,645.9,1162.0
2023-02-05,RevenueCenter_1,2,6,0,0,569.5,247.0,1016.0,1285.0
2023-02-06,RevenueCenter_1,2,0,0,0,125.0,569.5,510.0,1111.0
2023-02-07,RevenueCenter_1,2,1,0,0,969.0,125.0,250.0,543.0
2023-02-08,RevenueCenter_1,2,2,0,0,258.0,969.0,278.0,232.0
2023-02-09,RevenueCenter_1,2,3,0,0,801.0,258.0,938.5,1139.0
2023-02-10,RevenueCenter_1,2,4,1,0,570.5,801.0,565.0,370.0
2023-02-11,RevenueCenter_1,2,5,1,0,973.5,570.5,247.0,414.0
2023-02-12,RevenueCenter_1,2,6,0,0,1196.0,973.5,569.5,642.0
2023-02-13,RevenueCenter_1,2,0,0,0,282.0,1196.0,125.0,240.0
2023-02-14,RevenueCenter_1,2,1,0,0,526.0,282.0,969.0,354.8
2023-02-15,RevenueCenter_1,2,2,0,0,1566.0,526.0,258.0,284.0
2023-02-16,RevenueCenter_1,2,3,0,0,1259.0,1566.0,801.0,496.0
2023-02-17,RevenueCenter_1,2,4,1,0,689.0,1259.0,570.5,694.0
2023-02-18,RevenueCenter_1,2,5,1,0,1026.0,689.0,973.5,280.0
2023-02-19,RevenueCenter_1,2,6,0,0,844.0,1026.0,1196.0,524.0
2023-02-20,RevenueCenter_1,2,0,0,0,908.0,844.0,282.0,1677.0
2023-02-21,RevenueCenter_1,2,1,0,0,965.0,908.0,526.0,889.0
2023-02-22,RevenueCenter_1,2,2,0,0,785.0,965.0,1566.0,895.5
2023-02-23,RevenueCenter_1,2,3,0,0,259.0,785.0,1259.0,674.0
2023-02-24,RevenueCenter_1,2,4,1,0,1012.0,259.0,689.0,371.0
2023-02-25,RevenueCenter_1,2,5,1,0,1087.0,1012.0,1026.0,455.0
2023-02-26,RevenueCenter_1,2,6,0,0,573.0,1087.0,844.0,456.5
2023-02-27,RevenueCenter_1,2,0,0,0,575.0,573.0,908.0,645.9
2023-02-28,RevenueCenter_1,2,1,0,0,523.0,575.0,965.0,1016.0
2023-03-01,RevenueCenter_1,3,2,0,0,451.0,523.0,785.0,510.0
2023-03-02,RevenueCenter_1,3,3,0,0,381.0,451.0,259.0,250.0
2023-03-03,RevenueCenter_1,3,4,1,0,345.0,381.0,1012.0,278.0
